City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Byumba,RW,2021-10-11 21:57:25,-1.5763,30.0675,55.6,80,100,3.67
271,Toropets,RU,2021-10-11 21:57:25,56.4978,31.6353,41.94,73,100,6.71
272,Vila Velha,BR,2021-10-11 21:55:03,-20.3297,-40.2925,68.76,90,100,18.9
273,Lompoc,US,2021-10-11 21:57:26,34.6391,-120.4579,74.57,64,1,17.0
274,Pontian Kecil,MY,2021-10-11 21:57:27,1.4801,103.3899,80.73,82,99,2.21
275,Grand Gaube,MU,2021-10-11 21:57:28,-20.0064,57.6608,74.37,86,88,4.0
276,Mutare,ZW,2021-10-11 21:57:28,-18.9707,32.6709,52.14,88,11,0.92
277,Oskemen,KZ,2021-10-11 21:57:28,49.9565,82.6119,42.76,87,90,6.71
278,Penzance,GB,2021-10-11 21:57:29,50.1186,-5.5371,53.76,79,23,7.36
279,Dir,PK,2021-10-11 21:57:29,35.2058,71.8756,55.71,51,5,7.63
280,Pevek,RU,2021-10-11 21:57:30,69.7008,170.3133,16.79,90,100,7.47
281,Salinas,US,2021-10-11 21:55:09,36.6777,-121.6555,72.0,59,0,18.45
282,Pocatello,US,2021-10-11 21:57:30,42.8713,-112.4455,41.67,90,100,11.01
283,Maniitsoq,GL,2021-10-11 21:57:31,65.4167,-52.9,38.25,73,97,4.43
284,Qui Nhon,VN,2021-10-11 21:57:31,13.7667,109.2333,77.23,87,100,5.37
285,Vardo,NO,2021-10-11 21:57:31,70.3705,31.1107,45.1,96,100,6.55
286,Vila Franca Do Campo,PT,2021-10-11 21:57:32,37.7167,-25.4333,70.21,89,100,11.03
287,Payo,ID,2021-10-11 21:57:32,-3.7508,103.6372,71.58,84,75,1.52
288,Yulara,AU,2021-10-11 21:57:33,-25.2406,130.9889,49.84,93,0,5.75
289,Lorengau,PG,2021-10-11 21:57:33,-2.0226,147.2712,84.24,72,17,6.98
290,Sept-Iles,CA,2021-10-11 21:57:34,50.2001,-66.3821,61.32,84,20,2.3
291,Wanning,CN,2021-10-11 21:57:34,18.8003,110.3967,74.64,84,78,14.34
292,Kalianget,ID,2021-10-11 21:57:35,-7.05,113.9333,79.79,72,78,6.44
293,Sheoganj,IN,2021-10-11 21:57:35,25.15,73.0667,80.24,62,20,3.87
294,Yeniseysk,RU,2021-10-11 21:57:36,58.4497,92.1703,24.91,71,41,2.01
295,Itarema,BR,2021-10-11 21:57:36,-2.9248,-39.9167,79.47,79,8,16.2
